,0
0.4,69.110667734143
0.41,69.1017304301059
0.42,69.08901320771855
0.43,69.06895556703313
0.44,69.04397790973223
0.45,69.01817691797542
0.46,68.99323249714494
0.47,68.93682339376204
0.48,68.87940574597083
0.49,68.813259348069
0.5,68.75058355973111
0.51,68.67978823947337
0.52,68.60888808894276
0.53,68.54272345207404
0.54,68.4829978408205
0.55,68.42633449806398
0.56,68.37261971575091
0.57,68.31985039524083
0.58,68.28604991648699
0.59,68.25831662987882
0.6,68.23337699172873
0.61,68.20915912691052
0.62,68.17931159772746
0.63,68.1315410256789
0.64,68.06414228874098
0.65,67.9847805946667
0.66,67.91194105029099
0.67,67.8351857710897
0.68,67.76061135331148
0.69,67.68883540603684
0.7,67.6460807977124
0.71,67.60725361417619
0.72,67.56777642786342
0.73,67.52499317898246
0.74,67.46538546378684
0.75,67.38376750135821
0.76,67.29860448906607
0.77,67.21479132371954
0.78,67.10997602310788
0.79,67.02390798551573
0.8,66.94257558059728
0.81,66.86270123679154
0.82,66.78461896312588
0.83,66.70403749774897
0.84,66.61533025345682
0.85,66.52846921176716
0.86,66.44369078605406
0.87,66.36242347784395
0.88,66.2994570320333
0.89,66.2392244769693
0.9,66.19039688403052
0.91,66.17578243687905
0.92,66.17216858273106
0.93,66.17160532154072
0.94,66.17406583745297
0.95,66.18747033384177
0.96,66.22264717544235
0.97,66.26006810132291
0.98,66.30021257478785
0.99,66.34298487239847
1.0,66.38827445171991
1.01,66.44350803896097
1.02,66.52037777862614
1.03,66.58183600508426
1.04,66.62839905397685
1.05,66.58861933097407
1.06,66.5539779686054
1.07,66.50441555496371
1.08,66.45395360393239
1.09,66.4047236717657
1.1,66.35691794593134
1.11,66.31533947482478
1.12,66.28192826455965
1.13,66.25049888561118
1.14,66.22088483630147
1.15,66.19273103270059
1.16,66.16683198137639
1.17,66.13561303290695
1.18,66.1027291711279
1.19,66.10295670897146
1.2,66.12813577993423
1.21,66.16535547385855
1.22,66.20555391362794
1.23,66.27307565897627
1.24,66.34347078862132
1.25,66.41679971966299
1.26,66.49311243421629
1.27,66.57244625615287
1.28,66.65482339753197
1.29,66.74024827919938
1.3,66.82870463858237
1.31,66.89695767626513
1.32,66.94853418658948
1.33,66.99688156793631
1.34,67.01870815830846
1.35,67.04249508666153
1.36,67.07548585665377
1.37,67.11168759963543
1.38,67.15000092722842
1.39,67.19056215532221
1.4,67.23351415723594
